Created by: 2 component lmpfep spherical, Feb 2016

    7511  atoms
    7510  bonds
   14019  angles
   17773  dihedrals
     500  impropers

      41  atom types
      40  bond types
      74  angle types
      94  dihedral types
       2  improper types

  -927.52  1248.42  xlo xhi
  -927.52  1248.42  ylo yhi
  -927.52  1248.42  zlo zhi

 Atoms

   1       1     1 -0.121067 -0.121067      -0.137       2.307       1.052
   2       1     2 -0.024624 -0.024624      -0.943       1.383       0.101
   3       1     3 -0.111880 -0.111880      -0.777      -0.127       0.500
   4       1     4 -0.164041 -0.164041      -2.453       1.694       0.221
   5       1     5  0.059530  0.059530      -0.467       1.602      -1.337
   6       1     6 -0.066702 -0.066702       0.614       2.076      -1.667
   7       1     7 -0.104203 -0.104203      -1.391       1.174      -2.244
   8       1     8 -0.136695 -0.136695      -0.978       1.294      -3.621
   9       1     9 -0.024004 -0.024004       0.486      -0.973       0.127
  10       1    10 -0.120376 -0.120376       1.818      -0.324       0.599
  11       1    11 -0.163055 -0.163055       0.544      -1.301      -1.378
  12       1    12  0.059579  0.059579       0.301      -2.305       0.879
  13       1    13 -0.059654 -0.059654       0.139      -3.404       0.370
  14       1    14 -0.104533 -0.104533       0.339      -2.118       2.234
  15       1    15 -0.136193 -0.136193       0.173      -3.326       3.003
  16       1    16 -0.168384 -0.168384       3.045      -1.236       0.479
  17       1    18  0.068356  0.068356       0.934       2.086       0.946
  18       1    19  0.063110  0.063110      -0.418       2.033       2.085
  19       1    20  0.068195  0.068195      -1.643      -0.671       0.081
  20       1    21  0.071340  0.071340      -0.891      -0.156       1.597
  21       1    22  0.059399  0.059399      -2.776       1.551       1.266
  22       1    23  0.061333  0.061333      -2.679       2.731      -0.068
  23       1    24  0.064158  0.064158      -3.046       1.029      -0.423
  24       1    25  0.067968  0.067968      -1.864       1.039      -4.217
  25       1    26  0.070464  0.070464      -0.636       2.317      -3.837
  26       1    27  0.068590  0.068590      -0.156       0.593      -3.838
  27       1    28  0.067202  0.067202       1.703      -0.006       1.649
  28       1    29  0.067800  0.067800       1.977       0.583      -0.007
  29       1    30  0.067417  0.067417       0.909      -0.433      -1.947
  30       1    31  0.064145  0.064145       1.222      -2.146      -1.564
  31       1    32  0.062956  0.062956      -0.447      -1.590      -1.760
  32       1    33  0.067933  0.067933       0.242      -3.019       4.054
  33       1    34  0.069127  0.069127      -0.804      -3.790       2.795
  34       1    35  0.069411  0.069411       0.963      -4.054       2.757
  35       1    36  0.057441  0.057441       3.948      -0.713       0.832
  36       1    37  0.061601  0.061601       2.933      -2.150       1.086
  37       1    38  0.058936  0.058936       3.227      -1.544      -0.563
  38       1     1 -0.121067 -0.121067      -2.092       4.938       1.504
  39       1     2 -0.024624 -0.024624      -2.898       4.014       0.554
  40       1     3 -0.111880 -0.111880      -2.731       2.505       0.952
  41       1     4 -0.164041 -0.164041      -4.408       4.325       0.673
  42       1     5  0.059530  0.059530      -2.422       4.234      -0.885
  43       1     6 -0.066702 -0.066702      -1.341       4.707      -1.214
  44       1     7 -0.104203 -0.104203      -3.345       3.805      -1.792
  45       1     8 -0.136695 -0.136695      -2.933       3.925      -3.168
  46       1     9 -0.024004 -0.024004      -1.469       1.658       0.579
  47       1    11 -0.163055 -0.163055      -1.411       1.330      -0.926
  48       1    12  0.059579  0.059579      -1.654       0.326       1.332
  49       1    13 -0.059654 -0.059654      -1.815      -0.773       0.823
  50       1    14 -0.104533 -0.104533      -1.616       0.513       2.686
  51       1    15 -0.136193 -0.136193      -1.781      -0.695       3.455
  52       1    18  0.068356  0.068356      -1.021       4.717       1.399
  53       1    19  0.063110  0.063110      -2.372       4.664       2.537
  54       1    20  0.068195  0.068195      -3.597       1.961       0.534
  55       1    21  0.071340  0.071340      -2.845       2.476       2.049
  56       1    22  0.059399  0.059399      -4.731       4.182       1.718
  57       1    23  0.061333  0.061333      -4.634       5.362       0.384
  58       1    24  0.064158  0.064158      -5.000       3.660       0.030
  59       1    25  0.067968  0.067968      -3.818       3.670      -3.765
  60       1    26  0.070464  0.070464      -2.591       4.948      -3.384
  61       1    27  0.068590  0.068590      -2.110       3.225      -3.385
  62       1    30  0.067417  0.067417      -1.046       2.198      -1.494
  63       1    31  0.064145  0.064145      -0.733       0.485      -1.111
  64       1    32  0.062956  0.062956      -2.401       1.041      -1.307
  65       1    33  0.067933  0.067933      -1.713      -0.388       4.507
  66       1    34  0.069127  0.069127      -2.759      -1.158       3.248
  67       1    35  0.069411  0.069411      -0.992      -1.422       3.210
