Created by: LAMMPS for multicomponent system, Feb 2019

    3000  atoms
    2500  bonds
    3500  angles
       0  dihedrals
       0  impropers

       6  atom types
       5  bond types
       7  angle types
       0  dihedral types
       0  improper types

    -2.65    95.47  xlo xhi
    -2.65    95.47  ylo yhi
    -2.65    95.47  zlo zhi

 Atoms

   1       1     1  -0.37937235	-0.37937235   51.684      71.999      64.736 
   2       1     2  -0.21402650	-0.21402650   51.693      70.842      67.099 
   3       1     3  0.18070640	0.18070640  51.688      71.483      65.789 
   4       1     4  0.13756415	0.13756415  51.955      71.570      67.882 
   5       1     5  0.13756415	0.13756415  52.428      70.022      67.122 
   6       1     6  0.13756415	0.13756415  50.699      70.426      67.327 
   7       2     1  -0.37937235	-0.37937235   74.870      89.694       7.219 
   8       2     2  -0.21402650	-0.21402650   74.786      89.580       4.591 
   9       2     3  0.18070640	0.18070640  74.833      89.643       6.047 
  10       2     4  0.13756415	0.13756415  75.602      90.179       4.155 
  11       2     5  0.13756415	0.13756415  73.827      89.973       4.220 
  12       2     6  0.13756415	0.13756415  74.895      88.539       4.248 
  13       3     1  -0.37937235	-0.37937235   34.673       1.668      41.421 
  14       3     2  -0.21402650	-0.21402650   35.093       1.983      43.999 
  15       3     3  0.18070640	0.18070640  34.860       1.808      42.570 
  16       3     4  0.13756415	0.13756415  35.685       1.143      44.397 
  17       3     5  0.13756415	0.13756415  34.135       2.023      44.542 
  18       3     6  0.13756415	0.13756415  35.642       2.919      44.188 
  19       4     1  -0.37937235	-0.37937235   94.302      88.567      76.965 
  20       4     2  -0.21402650	-0.21402650   94.432      88.357      74.346 
  21       4     3  0.18070640	0.18070640  94.359      88.473      75.798 
  22       4     4  0.13756415	0.13756415  95.196      87.618      74.057 
  23       4     5  0.13756415	0.13756415  94.695      89.327      73.895 
  24       4     6  0.13756415	0.13756415  93.461      88.033      73.938 
  25       5     1  -0.37937235	-0.37937235   16.607      20.829      44.402 
  26       5     2  -0.21402650	-0.21402650   18.970      19.710      44.104 
  27       5     3  0.18070640	0.18070640  17.660      20.330      44.270 
  28       5     4  0.13756415	0.13756415  19.609      19.925      44.975 
  29       5     5  0.13756415	0.13756415  19.466      20.097      43.201 
  30       5     6  0.13756415	0.13756415  18.867      18.617      44.007 
  31       6     1  -0.37937235	-0.37937235    8.348      95.934       7.788 
  32       6     2  -0.21402650	-0.21402650    7.778      94.795       5.485 
  33       6     3  0.18070640	0.18070640   8.094      95.426       6.762 
  34       6     4  0.13756415	0.13756415   8.150      93.758       5.467 
  35       6     5  0.13756415	0.13756415   8.247      95.349       4.656 
  36       6     6  0.13756415	0.13756415   6.689      94.779       5.324 
  37       7     1  -0.37937235	-0.37937235   91.140      20.897      10.493 
  38       7     2  -0.21402650	-0.21402650   92.646      23.021      10.114 
  39       7     3  0.18070640	0.18070640  91.811      21.844      10.324 
  40       7     4  0.13756415	0.13756415  93.586      22.741       9.613 
  41       7     5  0.13756415	0.13756415  92.892      23.494      11.078 
  42       7     6  0.13756415	0.13756415  92.121      23.758       9.487 
  43       8     1  -0.37937235	-0.37937235   24.207      81.963      41.837 
  44       8     2  -0.21402650	-0.21402650   23.096      81.792      39.458 
  45       8     3  0.18070640	0.18070640  23.712      81.887      40.776 
  46       8     4  0.13756415	0.13756415  23.622      82.441      38.740 
  47       8     5  0.13756415	0.13756415  22.041      82.104      39.503 
  48       8     6  0.13756415	0.13756415  23.138      80.755      39.088 
  49       9     1  -0.37937235	-0.37937235   29.938      42.641      92.958 
