Created by: LAMMPS for multicomponent system, Feb 2019

    4250  atoms
    4500  bonds
    7000  angles
   10000  dihedrals
    2250  impropers

      17  atom types
      18  bond types
      28  angle types
      40  dihedral types
       9  improper types

    -2.65   111.08  xlo xhi
    -2.65   111.08  ylo yhi
    -2.65   111.08  zlo zhi

 Atoms

   1       1     1 -0.380606 -0.380606      59.241      82.910      75.384
   2       1     2 -0.012512 -0.012512      60.912      83.626      77.056
   3       1     3  0.121552  0.121552      59.801      82.811      76.631
   4       1     4 -0.108723 -0.108723      61.434      83.460      78.369
   5       1     5 -0.088045 -0.088045      61.430      84.564      76.122
   6       1     6 -0.099958 -0.099958      59.258      81.861      77.541
   7       1     7 -0.110958 -0.110958      60.883      82.526      79.230
   8       1     8 -0.107634 -0.107634      59.788      81.722      78.812
   9       1     9 -0.113771 -0.113771      60.857      84.655      74.867
  10       1    10  0.049485  0.049485      59.764      83.803      74.552
  11       1    11  0.116758  0.116758      62.278      84.082      78.685
  12       1    12  0.122604  0.122604      62.274      85.200      76.411
  13       1    13  0.126482  0.126482      58.416      81.256      77.193
  14       1    14  0.118338  0.118338      61.289      82.404      80.238
  15       1    15  0.119156  0.119156      59.364      80.989      79.505
  16       1    16  0.121383  0.121383      61.228      85.365      74.123
  17       1    17  0.126451  0.126451      59.301      83.866      73.558
  18       2     1 -0.380606 -0.380606      86.767     103.025       8.505
  19       2     2 -0.012512 -0.012512      87.381     105.034       7.204
  20       2     3  0.121552  0.121552      86.947     103.663       7.304
  21       2     4 -0.108723 -0.108723      87.544     105.620       5.918
  22       2     5 -0.088045 -0.088045      87.625     105.733       8.418
  23       2     6 -0.099958 -0.099958      86.694     102.933       6.109
  24       2     7 -0.110958 -0.110958      87.289     104.883       4.774
  25       2     8 -0.107634 -0.107634      86.861     103.531       4.871
  26       2     9 -0.113771 -0.113771      87.440     105.080       9.623
  27       2    10  0.049485  0.049485      87.009     103.725       9.606
  28       2    11  0.116758  0.116758      87.874     106.662       5.850
  29       2    12  0.122604  0.122604      87.956     106.776       8.380
  30       2    13  0.126482  0.126482      86.366     101.895       6.213
  31       2    14  0.118338  0.118338      87.416     105.340       3.789
  32       2    15  0.119156  0.119156      86.664     102.963       3.958
  33       2    16  0.121383  0.121383      87.618     105.585      10.576
  34       2    17  0.126451  0.126451      86.859     103.197      10.557
  35       3     1 -0.380606 -0.380606      40.773       3.794      48.593
  36       3     2 -0.012512 -0.012512      40.802       1.798      50.048
  37       3     3  0.121552  0.121552      40.905       3.220      49.831
  38       3     4 -0.108723 -0.108723      40.952       1.283      51.366
  39       3     5 -0.088045 -0.088045      40.552       0.979      48.914
  40       3     6 -0.099958 -0.099958      41.155       4.069      50.945
  41       3     7 -0.110958 -0.110958      41.194       2.137      52.429
  42       3     8 -0.107634 -0.107634      41.296       3.538      52.216
  43       3     9 -0.113771 -0.113771      40.420       1.569      47.670
  44       3    10  0.049485  0.049485      40.540       2.982      47.569
  45       3    11  0.116758  0.116758      40.872       0.202      51.523
  46       3    12  0.122604  0.122604      40.468      -0.105      49.041
  47       3    13  0.126482  0.126482      41.228       5.143      50.753
  48       3    14  0.118338  0.118338      41.308       1.734      53.439
  49       3    15  0.119156  0.119156      41.488       4.199      53.067
  50       3    16  0.121383  0.121383      40.228       0.972      46.775
  51       3    17  0.126451  0.126451      40.438       3.462      46.586
  52       4     1 -0.380606 -0.380606     108.347     103.242      89.194
  53       4     2 -0.012512 -0.012512     110.546     102.856      88.137
  54       4     3  0.121552  0.121552     109.119     103.052      88.077
  55       4     4 -0.108723 -0.108723     111.273     102.665      86.929
  56       4     5 -0.088045 -0.088045     111.154     102.865      89.421
  57       4     6 -0.099958 -0.099958     108.477     103.048      86.807
  58       4     7 -0.110958 -0.110958     110.618     102.667      85.709
  59       4     8 -0.107634 -0.107634     109.212     102.860      85.648
  60       4     9 -0.113771 -0.113771     110.366     103.057      90.541
  61       4    10  0.049485  0.049485     108.967     103.241      90.368
  62       4    11  0.116758  0.116758     112.357     102.517      86.982
  63       4    12  0.122604  0.122604     112.236     102.719      89.505
  64       4    13  0.126482  0.126482     107.394     103.199      86.790
  65       4    14  0.118338  0.118338     111.184     102.520      84.784
  66       4    15  0.119156  0.119156     108.710     102.859      84.676
  67       4    16  0.121383  0.121383     110.798     103.071      91.545
  68       4    17  0.126451  0.126451     108.331     103.395      91.250
  69       5     1 -0.380606 -0.380606      19.385      23.309      51.204
  70       5     2 -0.012512 -0.012512      21.381      24.492      52.055
  71       5     3  0.121552  0.121552      20.741      23.377      51.401
  72       5     4 -0.108723 -0.108723      22.794      24.483      52.219
  73       5     5 -0.088045 -0.088045      20.548      25.552      52.505
  74       5     6 -0.099958 -0.099958      21.544      22.298      50.938
  75       5     7 -0.110958 -0.110958      23.547      23.418      51.757
  76       5     8 -0.107634 -0.107634      22.917      22.319      51.113
  77       5     9 -0.113771 -0.113771      19.183      25.473      52.301
  78       5    10  0.049485  0.049485      18.656      24.328      51.645
  79       5    11  0.116758  0.116758      23.273      25.333      52.716
  80       5    12  0.122604  0.122604      21.000      26.415      53.006
  81       5    13  0.126482  0.126482      21.034      21.466      50.446
  82       5    14  0.118338  0.118338      24.633      23.418      51.886
  83       5    15  0.119156  0.119156      23.527      21.485      50.753
  84       5    16  0.121383  0.121383      18.511      26.269      52.633
  85       5    17  0.126451  0.126451      17.573      24.253      51.477
  86       6     1 -0.380606 -0.380606       8.796     112.169       9.091
  87       6     2 -0.012512 -0.012512      10.412     110.575       8.117
  88       6     3  0.121552  0.121552       9.169     111.305       8.095
  89       6     4 -0.108723 -0.108723      10.723     109.698       7.042
  90       6     5 -0.088045 -0.088045      11.270     110.779       9.233
  91       6     6 -0.099958 -0.099958       8.286     111.125       6.993
  92       6     7 -0.110958 -0.110958       9.843     109.545       5.984
  93       6     8 -0.107634 -0.107634       8.617     110.264       5.961
  94       6     9 -0.113771 -0.113771      10.883     111.652      10.232
  95       6    10  0.049485  0.049485       9.635     112.321      10.109
  96       6    11  0.116758  0.116758      11.670     109.147       7.066
  97       6    12  0.122604  0.122604      12.222     110.241       9.284
  98       6    13  0.126482  0.126482       7.351     111.690       7.000
  99       6    14  0.118338  0.118338      10.089     108.868       5.161
 100       6    15  0.119156  0.119156       7.933     110.132       5.118
 101       6    16  0.121383  0.121383      11.516     111.835      11.105
 102       6    17  0.126451  0.126451       9.317     113.018      10.896
 103       7     1 -0.380606 -0.380606     105.110      25.708      12.294
 104       7     2 -0.012512 -0.012512     107.562      25.480      12.487
 105       7     3  0.121552  0.121552     106.368      26.251      12.248
 106       7     4 -0.108723 -0.108723     108.830      26.122      12.421
 107       7     5 -0.088045 -0.088045     107.401      24.099      12.782
 108       7     6 -0.099958 -0.099958     106.493      27.638      11.951
 109       7     7 -0.110958 -0.110958     108.917      27.473      12.129
 110       7     8 -0.107634 -0.107634     107.741      28.234      11.893
 111       7     9 -0.113771 -0.113771     106.128      23.561      12.825
 112       7    10  0.049485  0.049485     105.018      24.413      12.573
 113       7    11  0.116758  0.116758     109.733      25.530      12.604
 114       7    12  0.122604  0.122604     108.286      23.482      12.969
 115       7    13  0.126482  0.126482     105.572      28.199      11.773
 116       7    14  0.118338  0.118338     109.895      27.960      12.079
 117       7    15  0.119156  0.119156     107.827      29.300      11.664
 118       7    16  0.121383  0.121383     105.964      22.503      13.048
 119       7    17  0.126451  0.126451     104.002      23.998      12.604
 120       8     1 -0.380606 -0.380606      28.071      94.031      48.813
 121       8     2 -0.012512 -0.012512      27.963      96.053      47.398
 122       8     3  0.121552  0.121552      27.711      94.656      47.647
 123       8     4 -0.108723 -0.108723      27.557      96.624      46.160
 124       8     5 -0.088045 -0.088045      28.615      96.792      48.423
 125       8     6 -0.099958 -0.099958      27.060      93.885      46.642
 126       8     7 -0.110958 -0.110958      26.926      95.847      45.204
 127       8     8 -0.107634 -0.107634      26.677      94.470      45.447
 128       8     9 -0.113771 -0.113771      28.974      96.152      49.595
 129       8    10  0.049485  0.049485      28.677      94.769      49.736
 130       8    11  0.116758  0.116758      27.752      97.686      45.979
 131       8    12  0.122604  0.122604      28.823      97.857      48.269
