Created by: LAMMPS for multicomponent system, Feb 2019

    2700  atoms
    2700  bonds
    3900  angles
    4200  dihedrals
       0  impropers

       9  atom types
       9  bond types
      13  angle types
      14  dihedral types
       0  improper types

    -2.65    94.54  xlo xhi
    -2.65    94.54  ylo yhi
    -2.65    94.54  zlo zhi

 Atoms

   1       1     1  0.040372  0.040372      51.172      71.222      64.250
   2       1     2 -0.138339 -0.138339      50.628      69.720      66.276
   3       1     3 -0.138339 -0.138339      51.730      70.539      66.675
   4       1     4 -0.134165 -0.134165      50.215      69.975      64.987
   5       1     5 -0.134165 -0.134165      52.137      71.404      65.682
   6       1     6  0.123304  0.123304      50.159      68.971      66.917
   7       1     7  0.123304  0.123304      52.205      70.492      67.657
   8       1     8  0.129014  0.129014      49.408      69.507      64.426
   9       1     9  0.129014  0.129014      52.942      72.135      65.705
  10       2     1  0.040372  0.040372      74.134      88.815       6.959
  11       2     2 -0.138339 -0.138339      73.838      88.026       4.520
  12       2     3 -0.138339 -0.138339      74.269      89.388       4.446
  13       2     4 -0.134165 -0.134165      73.718      87.576       5.816
  14       2     5 -0.134165 -0.134165      74.470      89.949       5.688
  15       2     6  0.123304  0.123304      73.624      87.404       3.649
  16       2     7  0.123304  0.123304      74.425      89.931       3.512
  17       2     8  0.129014  0.129014      73.412      86.593       6.170
  18       2     9  0.129014  0.129014      74.795      90.959       5.933
  19       3     1  0.040372  0.040372      34.347       1.647      41.168
  20       3     2 -0.138339 -0.138339      34.796       2.651      43.502
  21       3     3 -0.138339 -0.138339      34.690       1.238      43.693
  22       3     4 -0.134165 -0.134165      34.632       3.024      42.186
  23       3     5 -0.134165 -0.134165      34.447       0.560      42.519
  24       3     6  0.123304  0.123304      34.986       3.365      44.306
  25       3     7  0.123304  0.123304      34.788       0.741      44.660
  26       3     8  0.129014  0.129014      34.662       4.022      41.753
  27       3     9  0.129014  0.129014      34.321      -0.510      42.364
  28       4     1  0.040372  0.040372      93.395      87.692      76.048
  29       4     2 -0.138339 -0.138339      92.809      87.591      73.537
  30       4     3 -0.138339 -0.138339      94.223      87.398      73.621
  31       4     4 -0.134165 -0.134165      92.221      87.764      74.771
