Created by: LAMMPS for multicomponent system, Feb 2019

    1500  atoms
    1000  bonds
     500  angles
       0  dihedrals
       0  impropers

       3  atom types
       2  bond types
       1  angle types
       0  dihedral types
       0  improper types

    -2.65   126.50  xlo xhi
    -2.65   126.50  ylo yhi
    -2.65   126.50  zlo zhi

 Atoms

   1       1     1 -0.73030750 -0.73030750      75.760     120.001     117.420 
   2       1     2  0.36515375  0.36515375      76.646     119.619     117.300 
   3       1     3  0.36515375  0.36515375      75.739     120.202     118.372 
   4       2     1 -0.73030750 -0.73030750      28.167      77.034     101.520 
   5       2     2  0.36515375  0.36515375      28.348      77.982     101.642 
   6       2     3  0.36515375  0.36515375      28.809      76.614     102.120 
   7       3     1 -0.73030750 -0.73030750     121.521      41.680      44.595 
   8       3     2  0.36515375  0.36515375     120.855      42.389      44.580 
   9       3     3  0.36515375  0.36515375     122.351      42.169      44.735 
  10       4     1 -0.73030750 -0.73030750      41.718      44.013      90.140 
  11       4     2  0.36515375  0.36515375      42.349      43.305      90.359 
  12       4     3  0.36515375  0.36515375      40.963      43.522      89.772 
  13       5     1 -0.73030750 -0.73030750      63.565      25.718      48.486 
  14       5     2  0.36515375  0.36515375      64.504      25.507      48.342 
  15       5     3  0.36515375  0.36515375      63.575      26.161      49.353 
  16       6     1 -0.73030750 -0.73030750     121.016      59.270      77.138 
  17       6     2  0.36515375  0.36515375     120.370      59.952      76.887 
  18       6     3  0.36515375  0.36515375     120.821      58.549      76.514 
  19       7     1 -0.73030750 -0.73030750      87.193     116.274      49.343 
  20       7     2  0.36515375  0.36515375      86.525     115.806      49.874 
  21       7     3  0.36515375  0.36515375      87.276     117.127      49.805 
  22       8     1 -0.73030750 -0.73030750      91.142     107.378     113.267 
  23       8     2  0.36515375  0.36515375      92.058     107.705     113.300 
  24       8     3  0.36515375  0.36515375      91.249     106.423     113.415 
  25       9     1 -0.73030750 -0.73030750      26.796      38.539      19.178 
  26       9     2  0.36515375  0.36515375      27.323      37.771      18.894 
  27       9     3  0.36515375  0.36515375      27.095      39.240      18.574 
  28      10     1 -0.73030750 -0.73030750     112.701      27.234      37.628 
  29      10     2  0.36515375  0.36515375     113.667      27.319      37.547 
  30      10     3  0.36515375  0.36515375     112.375      28.003      37.127 
  31      11     1 -0.73030750 -0.73030750      56.200      18.450     102.735 
  32      11     2  0.36515375  0.36515375      56.051      18.711     101.810 
  33      11     3  0.36515375  0.36515375      56.322      17.487     102.669 
  34      12     1 -0.73030750 -0.73030750     101.811      19.316      32.266 
  35      12     2  0.36515375  0.36515375     101.356      19.720      33.025 
  36      12     3  0.36515375  0.36515375     101.641      18.366      32.394 
  37      13     1 -0.73030750 -0.73030750      77.253      -0.980      72.364 
  38      13     2  0.36515375  0.36515375      77.946      -0.327      72.567 
  39      13     3  0.36515375  0.36515375      76.607      -0.457      71.858 
  40      14     1 -0.73030750 -0.73030750     112.438     109.132      36.239 
  41      14     2  0.36515375  0.36515375     112.235     108.356      35.688 
  42      14     3  0.36515375  0.36515375     113.261     109.468      35.843 
  43      15     1 -0.73030750 -0.73030750      -0.059      80.438      62.157 
  44      15     2  0.36515375  0.36515375      -0.673      81.070      62.570 
  45      15     3  0.36515375  0.36515375       0.229      79.895      62.911 
  46      16     1 -0.73030750 -0.73030750      43.962      90.166      10.908 
  47      16     2  0.36515375  0.36515375      44.603      89.839      11.564 
  48      16     3  0.36515375  0.36515375      43.201      89.573      11.037 
  49      17     1 -0.73030750 -0.73030750      97.926      69.081     106.915 
  50      17     2  0.36515375  0.36515375      97.104      69.176     107.427 
  51      17     3  0.36515375  0.36515375      98.571      69.575     107.451 
  52      18     1 -0.73030750 -0.73030750     102.884       9.571      54.339 
  53      18     2  0.36515375  0.36515375     103.675       9.133      54.699 
  54      18     3  0.36515375  0.36515375     102.174       9.240      54.915 
  55      19     1 -0.73030750 -0.73030750      79.174      -2.574     109.234 
  56      19     2  0.36515375  0.36515375      80.080      -2.243     109.108 
  57      19     3  0.36515375  0.36515375      79.046      -2.488     110.195 
  58      20     1 -0.73030750 -0.73030750      62.217      70.900      95.515 
  59      20     2  0.36515375  0.36515375      62.543      69.994      95.656 
  60      20     3  0.36515375  0.36515375      62.986      71.445      95.756 
  61      21     1 -0.73030750 -0.73030750     125.831      79.882      19.972 
  62      21     2  0.36515375  0.36515375     124.875      80.037      20.067 
  63      21     3  0.36515375  0.36515375     126.140      79.869      20.895 
  64      22     1 -0.73030750 -0.73030750     103.180      83.829      37.682 
  65      22     2  0.36515375  0.36515375     103.273      83.987      38.638 
  66      22     3  0.36515375  0.36515375     102.243      84.038      37.520 
  67      23     1 -0.73030750 -0.73030750      22.305      92.568     112.248 
  68      23     2  0.36515375  0.36515375      23.148      93.054     112.240 
  69      23     3  0.36515375  0.36515375      21.786      93.027     111.565 
  70      24     1 -0.73030750 -0.73030750      52.881     110.054      20.542 
  71      24     2  0.36515375  0.36515375      52.993     109.511      21.342 
  72      24     3  0.36515375  0.36515375      51.945     110.316      20.590 
  73      25     1 -0.73030750 -0.73030750      80.575      67.182      34.882 
  74      25     2  0.36515375  0.36515375      81.285      66.655      35.288 
  75      25     3  0.36515375  0.36515375      80.929      68.088      34.926 
  76      26     1 -0.73030750 -0.73030750       0.518      46.796      52.332 
  77      26     2  0.36515375  0.36515375       0.416      45.958      52.817 
  78      26     3  0.36515375  0.36515375       1.303      46.632      51.782 
  79      27     1 -0.73030750 -0.73030750      44.213      24.122      79.788 
  80      27     2  0.36515375  0.36515375      43.428      23.995      79.228 
  81      27     3  0.36515375  0.36515375      44.947      24.013      79.158 
  82      28     1 -0.73030750 -0.73030750      72.178     120.151      39.404 
  83      28     2  0.36515375  0.36515375      71.997     119.276      39.788 
  84      28     3  0.36515375  0.36515375      71.355     120.349      38.924 
  85      29     1 -0.73030750 -0.73030750      84.715      94.390      46.152 
  86      29     2  0.36515375  0.36515375      84.337      95.191      45.748 
  87      29     3  0.36515375  0.36515375      84.504      93.700      45.499 
  88      30     1 -0.73030750 -0.73030750      79.018      98.933      24.972 
  89      30     2  0.36515375  0.36515375      79.968      98.728      24.928 
  90      30     3  0.36515375  0.36515375      78.628      98.276      24.369 
  91      31     1 -0.73030750 -0.73030750      27.547       7.937      67.644 
  92      31     2  0.36515375  0.36515375      26.966       8.340      68.313 
  93      31     3  0.36515375  0.36515375      28.434       8.210      67.936 
  94      32     1 -0.73030750 -0.73030750      21.770     125.766      94.396 
  95      32     2  0.36515375  0.36515375      21.111     126.324      93.948 
  96      32     3  0.36515375  0.36515375      21.774     124.959      93.853 
  97      33     1 -0.73030750 -0.73030750      87.965      49.175     118.337 
  98      33     2  0.36515375  0.36515375      87.345      49.750     117.855 
  99      33     3  0.36515375  0.36515375      88.790      49.692     118.326 
 100      34     1 -0.73030750 -0.73030750      37.718      27.985      15.002 
 101      34     2  0.36515375  0.36515375      37.628      28.745      15.603 
 102      34     3  0.36515375  0.36515375      38.086      27.295      15.582 
 103      35     1 -0.73030750 -0.73030750      65.731     117.024      21.370 
 104      35     2  0.36515375  0.36515375      65.453     117.803      21.883 
 105      35     3  0.36515375  0.36515375      65.046     116.368      21.589 
 106      36     1 -0.73030750 -0.73030750      91.086      13.993       6.372 
 107      36     2  0.36515375  0.36515375      91.795      13.542       5.881 
 108      36     3  0.36515375  0.36515375      90.668      13.264       6.864 
 109      37     1 -0.73030750 -0.73030750      57.388      30.578      19.326 
 110      37     2  0.36515375  0.36515375      56.973      30.244      20.140 
 111      37     3  0.36515375  0.36515375      56.848      30.171      18.627 
 112      38     1 -0.73030750 -0.73030750      10.917     115.477      36.356 
 113      38     2  0.36515375  0.36515375      11.653     115.351      35.732 
 114      38     3  0.36515375  0.36515375      10.270     115.975      35.827 
 115      39     1 -0.73030750 -0.73030750      69.753       2.151      92.233 
 116      39     2  0.36515375  0.36515375      69.029       2.440      92.815 
 117      39     3  0.36515375  0.36515375      69.920       1.241      92.533 
 118      40     1 -0.73030750 -0.73030750      64.061      81.093     114.080 
 119      40     2  0.36515375  0.36515375      65.023      81.234     114.033 
 120      40     3  0.36515375  0.36515375      63.963      80.542     114.876 
 121      41     1 -0.73030750 -0.73030750      96.726      24.810      71.673 
 122      41     2  0.36515375  0.36515375      97.669      24.828      71.911 
 123      41     3  0.36515375  0.36515375      96.739      25.021      70.724 
 124      42     1 -0.73030750 -0.73030750      84.169      78.454     115.174 
 125      42     2  0.36515375  0.36515375      83.875      79.055     114.467 
 126      42     3  0.36515375  0.36515375      84.703      79.036     115.742 
 127      43     1 -0.73030750 -0.73030750     109.862       2.484      78.379 
 128      43     2  0.36515375  0.36515375     109.011       2.506      78.851 
 129      43     3  0.36515375  0.36515375     110.319       3.271      78.724 
 130      44     1 -0.73030750 -0.73030750      40.970       5.934     102.295 
 131      44     2  0.36515375  0.36515375      41.866       5.732     101.972 
 132      44     3  0.36515375  0.36515375      40.997       5.616     103.214 
 133      45     1 -0.73030750 -0.73030750      90.010     100.716       2.992 
 134      45     2  0.36515375  0.36515375      89.233     100.340       3.441 
 135      45     3  0.36515375  0.36515375      89.776     100.631       2.051 
 136      46     1 -0.73030750 -0.73030750      63.249      94.760      37.418 
 137      46     2  0.36515375  0.36515375      63.403      94.409      36.523 
 138      46     3  0.36515375  0.36515375      63.071      93.956      37.936 
 139      47     1 -0.73030750 -0.73030750      55.390      60.007      84.715 
 140      47     2  0.36515375  0.36515375      56.197      60.345      85.142 
 141      47     3  0.36515375  0.36515375      55.166      59.233      85.260 
 142      48     1 -0.73030750 -0.73030750      12.251      36.198      39.093 
 143      48     2  0.36515375  0.36515375      12.523      36.163      38.160 
 144      48     3  0.36515375  0.36515375      12.775      35.483      39.496 
 145      49     1 -0.73030750 -0.73030750     122.207      -1.271      96.150 
 146      49     2  0.36515375  0.36515375     121.750      -0.720      95.490 
 147      49     3  0.36515375  0.36515375     121.832      -2.155      95.989 
 148      50     1 -0.73030750 -0.73030750      28.093      15.512     109.174 
 149      50     2  0.36515375  0.36515375      28.602      16.011     109.836 
 150      50     3  0.36515375  0.36515375      27.228      15.957     109.188 
 151      51     1 -0.73030750 -0.73030750      48.934       9.298      83.559 
 152      51     2  0.36515375  0.36515375      48.030       9.615      83.731 
 153      51     3  0.36515375  0.36515375      49.263       9.933      82.900 
 154      52     1 -0.73030750 -0.73030750      23.494      95.055      51.206 
 155      52     2  0.36515375  0.36515375      22.855      94.645      50.598 
 156      52     3  0.36515375  0.36515375      23.210      94.721      52.074 
 157      53     1 -0.73030750 -0.73030750      65.811      14.614       8.656 
 158      53     2  0.36515375  0.36515375      65.026      14.300       9.139 
 159      53     3  0.36515375  0.36515375      65.493      15.435       8.242 
 160      54     1 -0.73030750 -0.73030750      37.173      22.770     125.775 
 161      54     2  0.36515375  0.36515375      37.159      23.221     126.637 
 162      54     3  0.36515375  0.36515375      37.159      23.511     125.145 
 163      55     1 -0.73030750 -0.73030750      31.985      86.336      41.081 
 164      55     2  0.36515375  0.36515375      32.856      86.769      41.070 
 165      55     3  0.36515375  0.36515375      31.400      87.037      41.415 
 166      56     1 -0.73030750 -0.73030750      14.389     114.902      59.671 
 167      56     2  0.36515375  0.36515375      13.475     114.712      59.395 
 168      56     3  0.36515375  0.36515375      14.889     114.800      58.842 
 169      57     1 -0.73030750 -0.73030750      35.498     124.162       2.217 
 170      57     2  0.36515375  0.36515375      36.111     123.478       2.538 
 171      57     3  0.36515375  0.36515375      34.750     124.086       2.834 
 172      58     1 -0.73030750 -0.73030750      55.338      14.795      21.401 
 173      58     2  0.36515375  0.36515375      54.545      15.127      21.857 
 174      58     3  0.36515375  0.36515375      54.969      14.161      20.762 
 175      59     1 -0.73030750 -0.73030750       0.584      93.564      21.083 
 176      59     2  0.36515375  0.36515375       1.053      92.797      20.712 
 177      59     3  0.36515375  0.36515375      -0.054      93.153      21.692 
 178      60     1 -0.73030750 -0.73030750      35.332     110.942      95.390 
 179      60     2  0.36515375  0.36515375      35.176     111.300      96.282 
 180      60     3  0.36515375  0.36515375      36.272     110.692      95.420 
 181      61     1 -0.73030750 -0.73030750      91.435      71.681      88.864 
 182      61     2  0.36515375  0.36515375      91.710      71.725      87.932 
 183      61     3  0.36515375  0.36515375      91.879      70.876      89.182 
 184      62     1 -0.73030750 -0.73030750      51.056      81.837      37.904 
 185      62     2  0.36515375  0.36515375      51.594      81.682      38.700 
 186      62     3  0.36515375  0.36515375      50.251      81.322      38.084 
 187      63     1 -0.73030750 -0.73030750       5.513      -0.224     111.281 
 188      63     2  0.36515375  0.36515375       6.165       0.035     110.607 
 189      63     3  0.36515375  0.36515375       5.964      -0.949     111.749 
 190      64     1 -0.73030750 -0.73030750      75.053      26.247      40.303 
 191      64     2  0.36515375  0.36515375      75.946      26.236      40.690 
 192      64     3  0.36515375  0.36515375      75.154      26.852      39.548 
 193      65     1 -0.73030750 -0.73030750      54.528      38.427      67.247 
 194      65     2  0.36515375  0.36515375      54.285      39.073      67.934 
 195      65     3  0.36515375  0.36515375      53.996      37.649      67.485 
 196      66     1 -0.73030750 -0.73030750     120.985     125.246      52.304 
 197      66     2  0.36515375  0.36515375     120.622     125.892      51.673 
 198      66     3  0.36515375  0.36515375     120.696     125.600      53.163 
 199      67     1 -0.73030750 -0.73030750      57.915     107.195      61.474 
 200      67     2  0.36515375  0.36515375      58.467     106.748      62.139 
 201      67     3  0.36515375  0.36515375      57.388     107.811      62.012 
 202      68     1 -0.73030750 -0.73030750      14.259      58.959      96.729 
 203      68     2  0.36515375  0.36515375      15.003      58.383      96.481 
 204      68     3  0.36515375  0.36515375      14.704      59.720      97.142 
 205      69     1 -0.73030750 -0.73030750       6.749      16.100     104.646 
 206      69     2  0.36515375  0.36515375       6.251      16.732     105.193 
 207      69     3  0.36515375  0.36515375       6.051      15.676     104.118 
 208      70     1 -0.73030750 -0.73030750      42.376       8.561     123.948 
 209      70     2  0.36515375  0.36515375      43.006       9.298     123.869 
 210      70     3  0.36515375  0.36515375      41.658       8.825     123.347 
 211      71     1 -0.73030750 -0.73030750       0.185      23.504      44.082 
 212      71     2  0.36515375  0.36515375       0.518      22.667      43.716 
 213      71     3  0.36515375  0.36515375       0.725      24.170      43.623 
 214      72     1 -0.73030750 -0.73030750      78.001      35.928      -0.722 
 215      72     2  0.36515375  0.36515375      77.981      35.272      -1.441 
 216      72     3  0.36515375  0.36515375      77.130      36.355      -0.797 
 217      73     1 -0.73030750 -0.73030750      34.860     107.493      60.293 
 218      73     2  0.36515375  0.36515375      35.130     108.214      59.698 
 219      73     3  0.36515375  0.36515375      35.697     107.026      60.459 
 220      74     1 -0.73030750 -0.73030750      23.468      10.369      92.282 
 221      74     2  0.36515375  0.36515375      23.862      10.884      91.556 
 222      74     3  0.36515375  0.36515375      23.110       9.589      91.823 
 223      75     1 -0.73030750 -0.73030750     121.300      12.767      -1.950 
 224      75     2  0.36515375  0.36515375     120.967      12.661      -2.859 
 225      75     3  0.36515375  0.36515375     122.042      12.137      -1.919 
 226      76     1 -0.73030750 -0.73030750      97.432      49.154      64.065 
 227      76     2  0.36515375  0.36515375      96.836      49.851      63.739 
 228      76     3  0.36515375  0.36515375      98.258      49.640      64.235 
 229      77     1 -0.73030750 -0.73030750      -1.997      63.480      82.319 
 230      77     2  0.36515375  0.36515375      -2.344      63.941      83.102 
 231      77     3  0.36515375  0.36515375      -1.747      62.609      82.674 
 232      78     1 -0.73030750 -0.73030750     107.041      35.872       3.504 
 233      78     2  0.36515375  0.36515375     107.651      36.545       3.852 
 234      78     3  0.36515375  0.36515375     107.062      35.186       4.194 
 235      79     1 -0.73030750 -0.73030750      52.539      51.208      59.020 
 236      79     2  0.36515375  0.36515375      53.366      50.960      59.469 
 237      79     3  0.36515375  0.36515375      52.740      52.093      58.671 
 238      80     1 -0.73030750 -0.73030750      75.060      66.301     115.891 
 239      80     2  0.36515375  0.36515375      76.013      66.497     115.880 
 240      80     3  0.36515375  0.36515375      74.816      66.468     116.818 
 241      81     1 -0.73030750 -0.73030750      11.501      99.510      59.747 
 242      81     2  0.36515375  0.36515375      11.798      98.611      59.974 
 243      81     3  0.36515375  0.36515375      11.419      99.471      58.778 
 244      82     1 -0.73030750 -0.73030750      63.669     100.676      11.683 
 245      82     2  0.36515375  0.36515375      64.047      99.791      11.533 
 246      82     3  0.36515375  0.36515375      62.928     100.702      11.053 
 247      83     1 -0.73030750 -0.73030750      80.794     106.286      96.884 
 248      83     2  0.36515375  0.36515375      81.068     106.609      96.008 
 249      83     3  0.36515375  0.36515375      80.782     107.099      97.419 
 250      84     1 -0.73030750 -0.73030750      48.647      71.026     125.170 
 251      84     2  0.36515375  0.36515375      48.193      71.838     125.457 
 252      84     3  0.36515375  0.36515375      47.907      70.430     124.959 
 253      85     1 -0.73030750 -0.73030750      78.875      86.488       2.283 
 254      85     2  0.36515375  0.36515375      78.804      87.408       2.592 
 255      85     3  0.36515375  0.36515375      79.575      86.124       2.853 
